,From which University or Institute did you create a spinout?,Uni Location,Year Founded,Department Name,Product Type,Spinout Location,Was your spinout clearly founded on IP that you developed at University?,Did your spinout have hired-in leadership in addition to founders?,Equity: What % of your company did your University/TTO own upon founding and before any investment was raised?,"Equity: Does the equity dilute alongside you or is it protected until you raise $Xm of external capital (i.e. ""golden share"")?",Royalties: What % of net sales does your University/TTO receive?,Upfront payments: Did you pay any to your University/TTO?,Milestone payments: What is the aggregate sum of milestones payable to your University/TTO?,Exit fees: What % of exit proceeds are due to your University/TTO?,Did your University/TTO require a board seat in your spinout?,How many months did your deal take to complete from start to finish?,How much $USD did you raise in connection with your spinout deal?,How much $USD did you raise in your first financing round after you spun out?,How much $USD has your spinout raised in total to date?,What stage is your spinout today?,"Based on your experience, how would you rate the spinout process?",Have you donated money to the University from which you spun out?,Do you intend to become a significant donor if your spinout is successful?
76,ETH Zurich,EU,2016,Computer Science,Software,"Zurich, Switzerland",No,Yes,15%,no value,0%,$0,"$250,000",0%,No,3,"$1,500,000","$1,600,000","$7,000,000",Seed,8,No,Yes
77,Trinity College Dublin,EU,2021,Computer Science,Software,"Dublin, Ireland",Yes,No,8%,no value,6%,$0,$0,0%,No,2,"$1,200,000",$0,"$1,200,000",Seed,no value,No,No
78,TU Munchen,EU,2020,Computer Science,Software,Germany,Yes,No,4%,no value,0%,"$171,000",$0,0%,No,3,"$1,100,000","$3,000,000","$4,000,000",Seed,3,No,Yes
79,EPFL,EU,2017,Clinical Medicine,Diagnostic,"Lausanne, Switzerland",Yes,No,20%,no value,0%,$0,"$10,000,000",0%,No,0,"$1,000,000","$3,000,000","$15,000,000",No longer alive,8,No,No
80,Frankfurt University,EU,2007,Biotechnology,Materials,"Lille, France",Yes,No,0%,no value,5%,$0,$0,5%,No,15,"$1,000,000",$0,"$1,000,000",M&A exit,3,No,No
81,EPFL,EU,2020,Chemistry,Materials,"Sion, Switzerland",Yes,No,10%,no value,1%,no value,no value,0%,No,5,"$1,000,000","$1,000,000",no value,Seed,2,No,No
82,TU Dresden,EU,2018,Chemistry,Materials,"Dresden, Germany",Yes,No,10%,no value,0%,"$118,000",$0,0%,Yes,9,"$900,000","$900,000","$3,000,000",Series A,7,No,No
83,CEA,EU,2013,Electrical Engineering,Hardware,France,Yes,Yes,15%,Dilutes,4%,$0,$0,0%,No,12,"$750,000","$3,000,000","$20,000,000",Series B,7,No,No
84,HUJI,EU,2020,Chemistry,Materials,Israel,Yes,Yes,20%,no value,2%,"$10,000","$100,000",0%,Yes,6,"$600,000",no value,"$600,000",Pre-funding,5,No,No
85,University of Copenhagen,EU,2018,Computer Science,Software,"Copenhagen, Denmark",No,Yes,0%,no value,2%,"$15,000","$150,000",0%,No,10,"$500,000","$500,000","$6,000,000",Seed,0,No,No
